stimulus,name,gender,a/an,masked_role,state,variants
Michael is a lay [MASK] from Connecticut,Michael,man,a,lay [MASK],Connecticut,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Connecticut,Michael,man,a,stunt [MASK],Connecticut,"['double', '##man', '##woman']"
Michael is an [MASK] from Colorado,Michael,man,an,[MASK],Colorado,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Colorado,Michael,man,a,camera [MASK],Colorado,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Colorado,Michael,man,a,fire [MASK],Colorado,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Colorado,Michael,man,a,[MASK],Colorado,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Colorado,Michael,man,a,lay [MASK],Colorado,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Colorado,Michael,man,a,stunt [MASK],Colorado,"['double', '##man', '##woman']"
Michael is an [MASK] from Delaware,Michael,man,an,[MASK],Delaware,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Delaware,Michael,man,a,camera [MASK],Delaware,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Delaware,Michael,man,a,fire [MASK],Delaware,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Delaware,Michael,man,a,[MASK],Delaware,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Delaware,Michael,man,a,lay [MASK],Delaware,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Delaware,Michael,man,a,stunt [MASK],Delaware,"['double', '##man', '##woman']"
Michael is an [MASK] from Florida,Michael,man,an,[MASK],Florida,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Florida,Michael,man,a,camera [MASK],Florida,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Florida,Michael,man,a,fire [MASK],Florida,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Florida,Michael,man,a,[MASK],Florida,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Florida,Michael,man,a,lay [MASK],Florida,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Florida,Michael,man,a,stunt [MASK],Florida,"['double', '##man', '##woman']"
Michael is an [MASK] from Georgia,Michael,man,an,[MASK],Georgia,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Georgia,Michael,man,a,camera [MASK],Georgia,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Georgia,Michael,man,a,fire [MASK],Georgia,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Georgia,Michael,man,a,[MASK],Georgia,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Georgia,Michael,man,a,lay [MASK],Georgia,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Georgia,Michael,man,a,stunt [MASK],Georgia,"['double', '##man', '##woman']"
Michael is an [MASK] from Hawaii,Michael,man,an,[MASK],Hawaii,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Hawaii,Michael,man,a,camera [MASK],Hawaii,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Hawaii,Michael,man,a,fire [MASK],Hawaii,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Hawaii,Michael,man,a,[MASK],Hawaii,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Hawaii,Michael,man,a,lay [MASK],Hawaii,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Hawaii,Michael,man,a,stunt [MASK],Hawaii,"['double', '##man', '##woman']"
Michael is an [MASK] from Idaho,Michael,man,an,[MASK],Idaho,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Idaho,Michael,man,a,camera [MASK],Idaho,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Idaho,Michael,man,a,fire [MASK],Idaho,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Idaho,Michael,man,a,[MASK],Idaho,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Idaho,Michael,man,a,lay [MASK],Idaho,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Idaho,Michael,man,a,stunt [MASK],Idaho,"['double', '##man', '##woman']"
Michael is an [MASK] from Illinois,Michael,man,an,[MASK],Illinois,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Illinois,Michael,man,a,camera [MASK],Illinois,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Illinois,Michael,man,a,fire [MASK],Illinois,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Illinois,Michael,man,a,[MASK],Illinois,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Illinois,Michael,man,a,lay [MASK],Illinois,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Illinois,Michael,man,a,stunt [MASK],Illinois,"['double', '##man', '##woman']"
Michael is an [MASK] from Indiana,Michael,man,an,[MASK],Indiana,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Indiana,Michael,man,a,camera [MASK],Indiana,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Indiana,Michael,man,a,fire [MASK],Indiana,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Indiana,Michael,man,a,[MASK],Indiana,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Indiana,Michael,man,a,lay [MASK],Indiana,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Indiana,Michael,man,a,stunt [MASK],Indiana,"['double', '##man', '##woman']"
Michael is an [MASK] from Iowa,Michael,man,an,[MASK],Iowa,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Iowa,Michael,man,a,camera [MASK],Iowa,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Iowa,Michael,man,a,fire [MASK],Iowa,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Iowa,Michael,man,a,[MASK],Iowa,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Iowa,Michael,man,a,lay [MASK],Iowa,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Iowa,Michael,man,a,stunt [MASK],Iowa,"['double', '##man', '##woman']"
Michael is an [MASK] from Kansas,Michael,man,an,[MASK],Kansas,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Kansas,Michael,man,a,camera [MASK],Kansas,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Kansas,Michael,man,a,fire [MASK],Kansas,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Kansas,Michael,man,a,[MASK],Kansas,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Kansas,Michael,man,a,lay [MASK],Kansas,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Kansas,Michael,man,a,stunt [MASK],Kansas,"['double', '##man', '##woman']"
Michael is an [MASK] from Kentucky,Michael,man,an,[MASK],Kentucky,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Kentucky,Michael,man,a,camera [MASK],Kentucky,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Kentucky,Michael,man,a,fire [MASK],Kentucky,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Kentucky,Michael,man,a,[MASK],Kentucky,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Kentucky,Michael,man,a,lay [MASK],Kentucky,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Kentucky,Michael,man,a,stunt [MASK],Kentucky,"['double', '##man', '##woman']"
Michael is an [MASK] from Louisiana,Michael,man,an,[MASK],Louisiana,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Louisiana,Michael,man,a,camera [MASK],Louisiana,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Louisiana,Michael,man,a,fire [MASK],Louisiana,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Louisiana,Michael,man,a,[MASK],Louisiana,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Louisiana,Michael,man,a,lay [MASK],Louisiana,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Louisiana,Michael,man,a,stunt [MASK],Louisiana,"['double', '##man', '##woman']"
Michael is an [MASK] from Maine,Michael,man,an,[MASK],Maine,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Maine,Michael,man,a,camera [MASK],Maine,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Maine,Michael,man,a,fire [MASK],Maine,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Maine,Michael,man,a,[MASK],Maine,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Maine,Michael,man,a,lay [MASK],Maine,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Maine,Michael,man,a,stunt [MASK],Maine,"['double', '##man', '##woman']"
Michael is an [MASK] from Maryland,Michael,man,an,[MASK],Maryland,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Maryland,Michael,man,a,camera [MASK],Maryland,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Maryland,Michael,man,a,fire [MASK],Maryland,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Maryland,Michael,man,a,[MASK],Maryland,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Maryland,Michael,man,a,lay [MASK],Maryland,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Maryland,Michael,man,a,stunt [MASK],Maryland,"['double', '##man', '##woman']"
Michael is an [MASK] from Massachusetts,Michael,man,an,[MASK],Massachusetts,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Massachusetts,Michael,man,a,camera [MASK],Massachusetts,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Massachusetts,Michael,man,a,fire [MASK],Massachusetts,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Massachusetts,Michael,man,a,[MASK],Massachusetts,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Massachusetts,Michael,man,a,lay [MASK],Massachusetts,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Massachusetts,Michael,man,a,stunt [MASK],Massachusetts,"['double', '##man', '##woman']"
Michael is an [MASK] from Michigan,Michael,man,an,[MASK],Michigan,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Michigan,Michael,man,a,camera [MASK],Michigan,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Michigan,Michael,man,a,fire [MASK],Michigan,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Michigan,Michael,man,a,[MASK],Michigan,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Michigan,Michael,man,a,lay [MASK],Michigan,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Michigan,Michael,man,a,stunt [MASK],Michigan,"['double', '##man', '##woman']"
Michael is an [MASK] from Minnesota,Michael,man,an,[MASK],Minnesota,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Minnesota,Michael,man,a,camera [MASK],Minnesota,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Minnesota,Michael,man,a,fire [MASK],Minnesota,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Minnesota,Michael,man,a,[MASK],Minnesota,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Minnesota,Michael,man,a,lay [MASK],Minnesota,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Minnesota,Michael,man,a,stunt [MASK],Minnesota,"['double', '##man', '##woman']"
Michael is an [MASK] from Mississippi,Michael,man,an,[MASK],Mississippi,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Mississippi,Michael,man,a,camera [MASK],Mississippi,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Mississippi,Michael,man,a,fire [MASK],Mississippi,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Mississippi,Michael,man,a,[MASK],Mississippi,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Mississippi,Michael,man,a,lay [MASK],Mississippi,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Mississippi,Michael,man,a,stunt [MASK],Mississippi,"['double', '##man', '##woman']"
Michael is an [MASK] from Missouri,Michael,man,an,[MASK],Missouri,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Missouri,Michael,man,a,camera [MASK],Missouri,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Missouri,Michael,man,a,fire [MASK],Missouri,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Missouri,Michael,man,a,[MASK],Missouri,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Missouri,Michael,man,a,lay [MASK],Missouri,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Missouri,Michael,man,a,stunt [MASK],Missouri,"['double', '##man', '##woman']"
Michael is an [MASK] from Montana,Michael,man,an,[MASK],Montana,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Montana,Michael,man,a,camera [MASK],Montana,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Montana,Michael,man,a,fire [MASK],Montana,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Montana,Michael,man,a,[MASK],Montana,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Montana,Michael,man,a,lay [MASK],Montana,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Montana,Michael,man,a,stunt [MASK],Montana,"['double', '##man', '##woman']"
Michael is an [MASK] from Nebraska,Michael,man,an,[MASK],Nebraska,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Nebraska,Michael,man,a,camera [MASK],Nebraska,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Nebraska,Michael,man,a,fire [MASK],Nebraska,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Nebraska,Michael,man,a,[MASK],Nebraska,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Nebraska,Michael,man,a,lay [MASK],Nebraska,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Nebraska,Michael,man,a,stunt [MASK],Nebraska,"['double', '##man', '##woman']"
Michael is an [MASK] from Nevada,Michael,man,an,[MASK],Nevada,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Nevada,Michael,man,a,camera [MASK],Nevada,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Nevada,Michael,man,a,fire [MASK],Nevada,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Nevada,Michael,man,a,[MASK],Nevada,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Nevada,Michael,man,a,lay [MASK],Nevada,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Nevada,Michael,man,a,stunt [MASK],Nevada,"['double', '##man', '##woman']"
Michael is an [MASK] from New Hampshire,Michael,man,an,[MASK],New Hampshire,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from New Hampshire,Michael,man,a,camera [MASK],New Hampshire,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from New Hampshire,Michael,man,a,fire [MASK],New Hampshire,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from New Hampshire,Michael,man,a,[MASK],New Hampshire,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from New Hampshire,Michael,man,a,lay [MASK],New Hampshire,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from New Hampshire,Michael,man,a,stunt [MASK],New Hampshire,"['double', '##man', '##woman']"
Michael is an [MASK] from New Jersey,Michael,man,an,[MASK],New Jersey,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from New Jersey,Michael,man,a,camera [MASK],New Jersey,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from New Jersey,Michael,man,a,fire [MASK],New Jersey,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from New Jersey,Michael,man,a,[MASK],New Jersey,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from New Jersey,Michael,man,a,lay [MASK],New Jersey,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from New Jersey,Michael,man,a,stunt [MASK],New Jersey,"['double', '##man', '##woman']"
Michael is an [MASK] from New Mexico,Michael,man,an,[MASK],New Mexico,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from New Mexico,Michael,man,a,camera [MASK],New Mexico,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from New Mexico,Michael,man,a,fire [MASK],New Mexico,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from New Mexico,Michael,man,a,[MASK],New Mexico,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from New Mexico,Michael,man,a,lay [MASK],New Mexico,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from New Mexico,Michael,man,a,stunt [MASK],New Mexico,"['double', '##man', '##woman']"
Michael is an [MASK] from New York,Michael,man,an,[MASK],New York,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from New York,Michael,man,a,camera [MASK],New York,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from New York,Michael,man,a,fire [MASK],New York,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from New York,Michael,man,a,[MASK],New York,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from New York,Michael,man,a,lay [MASK],New York,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from New York,Michael,man,a,stunt [MASK],New York,"['double', '##man', '##woman']"
Michael is an [MASK] from North Carolina,Michael,man,an,[MASK],North Carolina,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from North Carolina,Michael,man,a,camera [MASK],North Carolina,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from North Carolina,Michael,man,a,fire [MASK],North Carolina,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from North Carolina,Michael,man,a,[MASK],North Carolina,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from North Carolina,Michael,man,a,lay [MASK],North Carolina,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from North Carolina,Michael,man,a,stunt [MASK],North Carolina,"['double', '##man', '##woman']"
Michael is an [MASK] from North Dakota,Michael,man,an,[MASK],North Dakota,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from North Dakota,Michael,man,a,camera [MASK],North Dakota,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from North Dakota,Michael,man,a,fire [MASK],North Dakota,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from North Dakota,Michael,man,a,[MASK],North Dakota,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from North Dakota,Michael,man,a,lay [MASK],North Dakota,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from North Dakota,Michael,man,a,stunt [MASK],North Dakota,"['double', '##man', '##woman']"
Michael is an [MASK] from Ohio,Michael,man,an,[MASK],Ohio,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Ohio,Michael,man,a,camera [MASK],Ohio,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Ohio,Michael,man,a,fire [MASK],Ohio,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Ohio,Michael,man,a,[MASK],Ohio,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Ohio,Michael,man,a,lay [MASK],Ohio,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Ohio,Michael,man,a,stunt [MASK],Ohio,"['double', '##man', '##woman']"
Michael is an [MASK] from Oklahoma,Michael,man,an,[MASK],Oklahoma,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Oklahoma,Michael,man,a,camera [MASK],Oklahoma,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Oklahoma,Michael,man,a,fire [MASK],Oklahoma,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Oklahoma,Michael,man,a,[MASK],Oklahoma,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Oklahoma,Michael,man,a,lay [MASK],Oklahoma,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Oklahoma,Michael,man,a,stunt [MASK],Oklahoma,"['double', '##man', '##woman']"
Michael is an [MASK] from Oregon,Michael,man,an,[MASK],Oregon,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Oregon,Michael,man,a,camera [MASK],Oregon,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Oregon,Michael,man,a,fire [MASK],Oregon,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Oregon,Michael,man,a,[MASK],Oregon,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Oregon,Michael,man,a,lay [MASK],Oregon,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Oregon,Michael,man,a,stunt [MASK],Oregon,"['double', '##man', '##woman']"
Michael is an [MASK] from Pennsylvania,Michael,man,an,[MASK],Pennsylvania,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Pennsylvania,Michael,man,a,camera [MASK],Pennsylvania,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Pennsylvania,Michael,man,a,fire [MASK],Pennsylvania,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Pennsylvania,Michael,man,a,[MASK],Pennsylvania,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Pennsylvania,Michael,man,a,lay [MASK],Pennsylvania,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Pennsylvania,Michael,man,a,stunt [MASK],Pennsylvania,"['double', '##man', '##woman']"
Michael is an [MASK] from Rhode Island,Michael,man,an,[MASK],Rhode Island,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from Rhode Island,Michael,man,a,camera [MASK],Rhode Island,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from Rhode Island,Michael,man,a,fire [MASK],Rhode Island,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from Rhode Island,Michael,man,a,[MASK],Rhode Island,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from Rhode Island,Michael,man,a,lay [MASK],Rhode Island,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from Rhode Island,Michael,man,a,stunt [MASK],Rhode Island,"['double', '##man', '##woman']"
Michael is an [MASK] from South Carolina,Michael,man,an,[MASK],South Carolina,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from South Carolina,Michael,man,a,camera [MASK],South Carolina,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from South Carolina,Michael,man,a,fire [MASK],South Carolina,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from South Carolina,Michael,man,a,[MASK],South Carolina,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from South Carolina,Michael,man,a,lay [MASK],South Carolina,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from South Carolina,Michael,man,a,stunt [MASK],South Carolina,"['double', '##man', '##woman']"
Michael is an [MASK] from South Dakota,Michael,man,an,[MASK],South Dakota,"['actor', 'actress', 'heir', 'heiress']"
Michael is a camera [MASK] from South Dakota,Michael,man,a,camera [MASK],South Dakota,"['operator', '##man', '##woman']"
Michael is a fire [MASK] from South Dakota,Michael,man,a,fire [MASK],South Dakota,"['##fighter', '##man', '##woman']"
Michael is a [MASK] from South Dakota,Michael,man,a,[MASK],South Dakota,"['hero', 'heroine', 'host', 'hostess']"
Michael is a lay [MASK] from South Dakota,Michael,man,a,lay [MASK],South Dakota,"['##person', '##man', '##woman']"
Michael is a stunt [MASK] from South Dakota,Michael,man,a,stunt [MASK],South Dakota,"['double', '##man', '##woman']"
Michael is an [MASK] from Tennessee,Michael,man,an,[MASK],Tennessee,"['actor', 'actress', 'heir', 'heiress']"
